Date,Open,High,Low,Close,Volume,Adj Close
2012-08-13,2450.71,2452.98,2432.52,2451.96,000,2451.96
2012-08-10,2447.58,2452.86,2440.34,2452.75,000,2452.75
2012-08-09,2452.95,2460.14,2448.14,2454.42,000,2454.42
2012-08-08,2450.99,2461.89,2450.11,2456.88,000,2456.88
2012-08-07,2454.49,2478.50,2454.17,2469.90,000,2469.90
2012-08-06,2433.75,2449.12,2429.92,2440.97,000,2440.97
2012-08-03,2410.12,2433.56,2410.12,2426.62,000,2426.62
2012-08-02,2366.42,2397.88,2360.07,2375.78,000,2375.78
2012-08-01,2418.24,2420.12,2382.05,2382.05,000,2382.05
2012-07-31,2415.64,2420.23,2402.57,2403.52,000,2403.52
2012-07-30,2433.58,2440.83,2415.54,2422.17,000,2422.17
2012-07-27,2391.89,2438.86,2390.92,2435.23,000,2435.23
2012-07-26,2380.45,2386.19,2359.51,2379.32,000,2379.32
2012-07-25,2354.21,2357.71,2334.82,2343.11,000,2343.11
2012-07-24,2379.34,2379.52,2338.80,2352.06,000,2352.06
2012-07-23,2370.13,2382.33,2353.80,2376.61,000,2376.61
2012-07-20,2424.57,2424.94,2407.24,2409.59,000,2409.59
2012-07-19,2433.18,2450.48,2426.87,2437.73,000,2437.73
2012-07-18,2389.54,2422.34,2388.68,2416.03,000,2416.03
2012-07-17,2394.21,2403.22,2366.68,2398.19,000,2398.19
2012-07-16,2391.15,2394.17,2377.10,2381.70,000,2381.70
2012-07-13,2369.24,2402.57,2368.16,2398.22,000,2398.22
2012-07-12,2356.35,2371.47,2337.27,2364.47,000,2364.47
2012-07-11,2383.73,2389.93,2358.09,2374.69,000,2374.69
2012-07-10,2421.07,2427.36,2376.40,2384.50,000,2384.50
2012-07-09,2415.18,2418.80,2399.07,2409.43,000,2409.43
2012-07-06,2425.88,2431.98,2406.29,2418.59,000,2418.59
2012-07-05,2439.79,2450.25,2426.52,2440.63,000,2440.63
2012-07-03,2429.85,2445.20,2426.05,2444.91,000,2444.91
2012-07-02,2420.16,2428.17,2407.47,2428.17,000,2428.17
2012-06-29,2394.39,2416.91,2385.97,2416.91,000,2416.91
2012-06-28,2348.13,2352.99,2323.95,2351.17,000,2351.17
2012-06-27,2361.55,2377.21,2359.00,2367.43,000,2367.43
2012-06-26,2346.43,2366.82,2336.46,2360.86,000,2360.86
2012-06-25,2351.67,2351.74,2326.06,2335.04,000,2335.04
2012-06-22,2360.92,2378.15,2355.81,2374.99,000,2374.99
2012-06-21,2411.59,2411.84,2352.64,2353.70,000,2353.70
2012-06-20,2416.64,2423.04,2396.34,2412.49,000,2412.49
2012-06-19,2394.81,2423.41,2390.91,2415.64,000,2415.64
2012-06-18,2362.11,2390.02,2348.82,2385.72,000,2385.72
2012-06-15,2334.21,2364.22,2332.56,2362.26,000,2362.26
2012-06-14,2312.53,2337.53,2307.66,2331.86,000,2331.86
2012-06-13,2340.12,2344.25,2304.02,2310.44,000,2310.44
2012-06-12,2325.21,2345.63,2314.12,2344.27,000,2344.27
2012-06-11,2375.18,2375.45,2317.73,2319.70,000,2319.70
2012-06-08,2332.13,2358.56,2323.59,2356.48,000,2356.48
2012-06-07,2368.75,2375.73,2335.74,2339.07,000,2339.07
2012-06-06,2302.59,2347.51,2302.59,2347.51,000,2347.51
2012-06-05,2268.05,2292.23,2266.04,2289.83,000,2289.83
2012-06-04,2264.29,2281.31,2249.17,2277.87,000,2277.87
2012-06-01,2308.77,2308.77,2262.17,2264.25,000,2264.25
2012-05-31,2335.35,2338.35,2304.32,2325.44,000,2325.44
2012-05-30,2358.90,2358.90,2330.80,2335.02,000,2335.02
2012-05-29,2358.03,2386.97,2356.73,2378.51,000,2378.51
2012-05-25,2350.78,2357.18,2342.00,2348.94,000,2348.94
2012-05-24,2355.43,2360.22,2330.23,2350.29,000,2350.29
2012-05-23,2326.81,2352.46,2303.08,2350.05,000,2350.05
2012-05-22,2339.70,2356.17,2321.70,2334.16,000,2334.16
2012-05-21,2288.61,2337.59,2274.92,2336.51,000,2336.51
2012-05-18,2312.45,2324.02,2281.40,2285.55,000,2285.55
2012-05-17,2368.59,2370.31,2312.01,2312.01,000,2312.01
2012-05-16,2384.63,2399.56,2368.29,2368.87,000,2368.87
2012-05-15,2381.83,2407.86,2372.05,2376.53,000,2376.53
2012-05-14,2393.04,2400.70,2377.22,2381.54,000,2381.54
2012-05-11,2404.89,2437.22,2404.88,2414.31,000,2414.31
2012-05-10,2423.76,2429.43,2407.93,2416.99,000,2416.99
2012-05-09,2380.23,2410.59,2373.92,2399.85,000,2399.85
2012-05-08,2411.90,2415.05,2369.32,2409.94,000,2409.94
2012-05-07,2418.78,2440.06,2417.42,2431.55,000,2431.55
2012-05-04,2465.56,2466.26,2430.77,2430.82,000,2430.82
2012-05-03,2510.42,2511.36,2474.29,2483.48,000,2483.48
2012-05-02,2495.75,2523.27,2490.69,2520.99,000,2520.99
2012-05-01,2503.26,2537.64,2502.69,2508.25,000,2508.25
2012-04-30,2509.33,2514.52,2497.63,2504.05,000,2504.05
2012-04-27,2503.70,2521.48,2486.52,2515.24,000,2515.24
2012-04-26,2442.38,2479.24,2442.09,2474.78,000,2474.78
2012-04-25,2423.60,2443.46,2422.27,2442.97,000,2442.97
2012-04-24,2407.28,2418.31,2394.65,2404.34,000,2404.34
2012-04-23,2408.63,2408.63,2387.61,2404.54,000,2404.54
2012-04-20,2445.22,2454.79,2435.16,2435.69,000,2435.69
2012-04-19,2448.91,2468.60,2423.64,2431.92,000,2431.92
2012-04-18,2437.72,2452.41,2435.47,2442.61,000,2442.61
2012-04-17,2431.10,2455.83,2428.96,2445.62,000,2445.62
2012-04-16,2442.62,2442.62,2407.16,2415.01,000,2415.01
2012-04-13,2446.41,2447.90,2426.82,2434.43,000,2434.43
2012-04-12,2421.08,2456.79,2417.96,2453.96,000,2453.96
2012-04-11,2412.63,2423.65,2409.50,2416.90,000,2416.90
2012-04-10,2438.21,2442.63,2383.43,2387.05,000,2387.05
2012-04-09,2433.33,2448.90,2431.81,2441.36,000,2441.36
2012-04-05,2453.56,2475.00,2453.19,2470.55,000,2470.55
2012-04-04,2476.49,2477.13,2446.82,2459.19,000,2459.19
2012-04-03,2500.12,2513.78,2488.72,2498.39,000,2498.39
2012-04-02,2485.58,2511.49,2479.81,2505.67,000,2505.67
2012-03-30,2509.23,2511.76,2484.76,2495.14,000,2495.14
2012-03-29,2487.17,2497.10,2469.49,2493.84,000,2493.84
2012-03-28,2527.70,2527.70,2488.00,2500.70,000,2500.70
2012-03-27,2535.52,2542.08,2527.70,2528.11,000,2528.11
2012-03-26,2509.69,2534.61,2509.69,2534.60,000,2534.60
2012-03-23,2482.79,2490.52,2462.76,2489.27,000,2489.27
2012-03-22,2472.92,2485.60,2468.65,2481.31,000,2481.31
2012-03-21,2487.96,2498.30,2481.62,2489.86,000,2489.86
2012-03-20,2475.32,2490.98,2466.39,2485.31,000,2485.31
2012-03-19,2469.93,2498.66,2466.56,2489.98,000,2489.98
2012-03-16,2475.56,2478.84,2467.50,2475.97,000,2475.97
2012-03-15,2463.63,2475.40,2454.18,2475.12,000,2475.12
2012-03-14,2470.79,2472.53,2455.16,2462.51,000,2462.51
2012-03-13,2449.77,2473.66,2438.64,2473.59,000,2473.59
2012-03-12,2445.73,2453.25,2431.11,2436.01,000,2436.01
2012-03-09,2434.23,2453.09,2430.01,2446.88,000,2446.88
2012-03-08,2414.60,2436.33,2409.95,2431.22,000,2431.22
2012-03-07,2386.47,2403.26,2386.12,2400.36,000,2400.36
2012-03-06,2392.81,2392.81,2370.12,2377.82,000,2377.82
2012-03-05,2417.61,2423.55,2405.99,2415.50,000,2415.50
2012-03-02,2432.60,2442.40,2414.94,2423.84,000,2423.84
2012-03-01,2424.47,2442.10,2422.09,2435.20,000,2435.20
2012-02-29,2438.60,2444.37,2415.55,2415.56,000,2415.56
2012-02-28,2427.97,2439.70,2424.96,2438.06,000,2438.06
2012-02-27,2408.08,2431.59,2398.74,2424.16,000,2424.16
2012-02-24,2426.11,2431.91,2419.13,2423.32,000,2423.32
2012-02-23,2403.80,2424.47,2396.83,2424.34,000,2424.34
2012-02-22,2407.38,2412.42,2395.48,2401.91,000,2401.91
2012-02-21,2423.80,2428.65,2402.56,2410.83,000,2410.83
2012-02-17,2413.32,2420.95,2405.40,2418.33,000,2418.33
2012-02-16,2385.66,2408.70,2379.75,2408.25,000,2408.25
2012-02-15,2409.39,2412.84,2381.09,2385.25,000,2385.25
2012-02-14,2387.50,2395.65,2377.45,2394.26,000,2394.26
2012-02-13,2392.22,2399.06,2384.93,2396.96,000,2396.96
